Year,Position,Player ID,Player Name,Wickets,Best Bowled Innings,Team Name
2008,1,,Sohail Tanvir,22,6W/14R,Rajasthan Royals
2008,2,,Shane Warne,19,4W/21R,Rajasthan Royals
2008,3,,Shanthakumaran Sreesanth,19,3W/29R,Punjab Kings
2009,1,,RP Singh,23,4W/22R,Deccan Chargers
2009,2,,Anil Kumble,21,5W/5R,Royal Challengers Bangalore
2009,3,,Pragyan Ojha,18,3W/11R,Deccan Chargers
2010,1,,Pragyan Ojha,21,3W/11R,Deccan Chargers
2010,2,,Harbhajan Singh,17,5W/18R,Mumbai Indians
2010,3,,Anil Kumble,17,5W/5R,Royal Challengers Bangalore
2011,1,,Lasith Malinga,28,5W/13R,Mumbai Indians
2011,2,,Munaf Patel,22,5W/21R,Mumbai Indians
2011,3,,Sreenath Aravind,21,4W/14R,Royal Challengers Bangalore
2012,1,,Morne Morkel,25,4W/20R,Delhi Capitals
2012,2,,Sunil Narine,24,5W/19R,Kolkata Knight Riders
2012,3,,Lasith Malinga,22,5W/13R,Mumbai Indians
2013,1,,Dwayne Bravo,32,4W/22R,Chennai Super Kings
2013,2,,James Faulkner,28,5W/16R,Rajasthan Royals
2013,3,,Harbhajan Singh,24,5W/18R,Mumbai Indians
2014,1,,Mohit Sharma,23,4W/14R,Chennai Super Kings
2014,2,,Sunil Narine,21,5W/19R,Kolkata Knight Riders
2014,3,,Bhuvneshwar Kumar,20,5W/19R,Sunrisers Hyderabad
2015,1,,Dwayne Bravo,26,4W/22R,Chennai Super Kings
2015,2,,Lasith Malinga,24,5W/13R,Mumbai Indians
2015,3,,Yuzvendra Chahal,23,4W/25R,Royal Challengers Bangalore
2016,1,,Bhuvneshwar Kumar,23,5W/19R,Sunrisers Hyderabad
2016,2,,Yuzvendra Chahal,21,4W/25R,Royal Challengers Bangalore
2016,3,,Shane Watson,20,4W/29R,Royal Challengers Bangalore
2017,1,,Bhuvneshwar Kumar,26,5W/19R,Sunrisers Hyderabad
2017,2,,Jaydev Unadkat,24,5W/25R,Rising Pune Supergiants
2017,3,,Jasprit Bumrah,20,4W/14R,Mumbai Indians
2018,1,,Andrew Tye,24,6W/14R,Sunrisers Hyderabad
2018,2,,Siddarth Kaul,21,6W/14R,Delhi Capitals
2018,3,,Rashid Khan,21,6W/14R,Punjab Kings
2019,1,,Imran Tahir,26,6W/14R,Sunrisers Hyderabad
2019,2,,Kagiso Rabada,25,6W/14R,Punjab Kings
2019,3,,Deepak Chahar,22,6W/14R,Mumbai Indians
2020,1,,Kagiso Rabada,30,6W/14R,Punjab Kings
2020,2,,Jasprit Bumrah,27,6W/14R,Delhi Capitals
2020,3,,Trent Boult,25,6W/14R,Sunrisers Hyderabad
2021,1,,Harshal Patel,32,6W/14R,Chennai Super Kings
2021,2,,Avesh Khan,24,6W/14R,Chennai Super Kings
2021,3,,Jasprit Bumrah,21,6W/14R,Punjab Kings
2022,1,,Yuzvendra Chahal,27,6W/14R,Rajasthan Royals
2022,2,,Wanindu Hasaranga,26,6W/14R,Royal Challengers Bangalore
2022,3,,Kagiso Rabada,23,6W/14R,Punjab Kings
