Year,FirstBattingTeamName,SecondBattingTeamName,MatchName,MatchDateNew,Commentss,1Summary,2Summary
2022,Rajasthan Royals,Gujarat Titans,Gujarat Titans VS Rajasthan Royals,29-May-22,Gujarat Titans Won by 7  Wickets (Winners),130/9 (20.0 Overs),133/3 (18.1 Overs)
2022,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals VS Royal Challengers Bangalore,27-May-22,Rajasthan Royals Won by 7 Wickets (Qualified),157/8 (20.0 Overs),161/3 (18.1 Overs)
2022,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants VS Royal Challengers Bangalore,25-May-22,Royal Challengers Bangalore Won by 14 Runs (Qualified),207/4 (20.0 Overs),193/6 (20.0 Overs)
2022,Rajasthan Royals,Gujarat Titans,Gujarat Titans VS Rajasthan Royals,24-May-22,Gujarat Titans Won by 7  Wickets (Qualified),188/6 (20.0 Overs),191/3 (19.3 Overs)
2022,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad VS Punjab Kings,22-May-22,Punjab Kings Won by 5  Wickets ,157/8 (20.0 Overs),160/5 (15.1 Overs)
2022,Delhi Capitals,Mumbai Indians,Mumbai Indians VS Delhi Capitals,21-May-22,Mumbai Indians Won by 5  Wickets ,159/7 (20.0 Overs),160/5 (19.1 Overs)
2022,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals VS Chennai Super Kings,20-May-22,Rajasthan Royals Won by 5  Wickets ,150/6 (20.0 Overs),151/5 (19.4 Overs)
2022,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore VS Gujarat Titans,19-May-22,Royal Challengers Bangalore Won by 8  Wickets ,168/5 (20.0 Overs),170/2 (18.4 Overs)
2022,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders VS Lucknow Super Giants,18-May-22,Lucknow Super Giants Won by 2 Runs ,210/0 (20.0 Overs),208/8 (20.0 Overs)
2022,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians VS Sunrisers Hyderabad,17-May-22,Sunrisers Hyderabad Won by 3  Runs ,193/6 (20.0 Overs),190/7 (20.0 Overs)
2022,Delhi Capitals,Punjab Kings,Punjab Kings VS Delhi Capitals,16-May-22,Delhi Capitals Won by 17  Runs ,159/7 (20.0 Overs),142/9 (20.0 Overs)
2022,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants VS Rajasthan Royals,15-May-22,Rajasthan Royals Won by 24  Runs ,178/6 (20.0 Overs),154/8 (20.0 Overs)
2022,Chennai Super Kings,Gujarat Titans,Chennai Super Kings VS Gujarat Titans,15-May-22,Gujarat Titans Won by 7  Wickets ,133/5 (20.0 Overs),137/3 (19.1 Overs)
2022,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders VS Sunrisers Hyderabad,14-May-22,Kolkata Knight Riders Won by 54 Runs ,177/6 (20.0 Overs),123/8 (20.0 Overs)
2022,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore VS Punjab Kings,13-May-22,Punjab Kings Won by 54  Runs ,209/9 (20.0 Overs),155/9 (20.0 Overs)
2022,Chennai Super Kings,Mumbai Indians,Chennai Super Kings VS Mumbai Indians,12-May-22,Mumbai Indians Won by 5  Wickets ,97/10 (16.0 Overs),103/5 (14.5 Overs)
2022,Rajasthan Royals,Delhi Capitals,Rajasthan Royals VS Delhi Capitals,11-May-22,Delhi Capitals Won by 8 Wickets ,160/6 (20.0 Overs),161/2 (18.1 Overs)
2022,Gujarat Titans,Lucknow Super Giants,Lucknow Super Giants VS Gujarat Titans,10-May-22,Gujarat Titans Won by 62  Runs ,144/4 (20.0 Overs),82/10 (13.5 Overs)
2022,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians VS Kolkata Knight Riders,9-May-22,Kolkata Knight Riders Won by 52  Runs ,165/9 (20.0 Overs),113/10 (17.3 Overs)
2022,Chennai Super Kings,Delhi Capitals,Chennai Super Kings VS Delhi Capitals,8-May-22,Chennai Super Kings Won by 91  Runs ,208/6 (20.0 Overs),117/10 (17.4 Overs)
2022,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad VS Royal Challengers Bangalore,8-May-22,Royal Challengers Bangalore Won by 67  Runs ,192/3 (20.0 Overs),125/10 (19.2 Overs)
