editonNo,Team Name,Player ID,Player Name,Role,Batting Style,Bowling Style,Nationality,DOB,IPL Debut,Matches,Runs,WIckets,Image
2008,chennai-super-kings,1,MS Dhoni,Wicketkeeper Batter,Right-handed,Right-arm Medium,Indian,7-Jul-81,2008,234,4978,0,https://assets.iplt20.com/ipl/IPLHeadshot2022/1.png
2008,chennai-super-kings,2,Abhinav Mukund,Batter,Left-handed,Right-arm Leg Spin,Indian,6-Jan-90,2008,3,19,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/2.png
2008,chennai-super-kings,3267,Napoleon Einstein,,Right-handed,,Indian,16-Aug-89,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,chennai-super-kings,3268,Viraj Kadbe,,Right-handed,,Indian,18-Nov-89,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,chennai-super-kings,5,Joginder Sharma,Bowler,Left-handed,Right-arm Medium,Indian,23-Oct-83,2008,12,36,12,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/5.png
2008,chennai-super-kings,3269,Suresh Kumar,,Right-handed,,Indian,20-Mar-85,,0,0,0,https://www.iplt20.com/assets/images/default-headshot.png
2008,chennai-super-kings,8,Ravichandran Ashwin,Bowling All-rounder,Right-handed,Right-arm Off-spin,Indian,17-Sep-86,2009,184,647,157,https://assets.iplt20.com/ipl/IPLHeadshot2022/8.png
2008,chennai-super-kings,10,Shadab Jakati,Bowler,Left-handed,Left-arm Orthodox Spin,Indian,27-Nov-80,2009,30,28,47,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/10.png
2008,chennai-super-kings,11,Srikkanth Anirudha,Batter,Left-handed,,Indian,14-Apr-87,2008,15,106,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/11.png
2008,chennai-super-kings,12,Subramaniam Badrinath,Batter,Left-handed,Right-arm Off-spin,Indian,30-Aug-80,2008,95,1441,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/12.png
2008,chennai-super-kings,13,Sudeep Tyagi,Bowler,Left-handed,Right-arm Medium Fast,Indian,19-Sep-87,2009,6,3,6,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/13.png
2008,chennai-super-kings,14,Suresh Raina,Batter,Left-handed,Right-arm Off-spin,Indian,27-Nov-86,2008,205,5528,25,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/14.png
2008,chennai-super-kings,20,Michael Hussey,Batter,Left-handed,Right-arm Medium,Australian,27-May-75,2008,59,1977,0,https://bcciplayerimages.s3.ap-south-1.amazonaws.com/playerheadshot/ipl/284/20.png
