editionNO,Team,Team Name,coach,owner,captain
2008,CSK,Chennai Super Kings,Kepler Wessels,India Cements,MS Dhoni
2008,DC,Delhi Capitals,Greg Shipperd,GMR Group and the JSW Group,Virender Sehwag
2008,DEC,Deccan Charges,Robin Singh,Deccan Chronicle,Adam Gilchrist
2008,KKR,Kolkata Knight Riders,John Buchanan,Shah Rukh Khan,Sourav Ganguly
2008,MI,Mumbai Indians,Lalchand Rajput,Reliance Industries,Sachin Tendulkar
2008,PBKS,Punjab Kings,Tom Moody,Preity Zinta,Yuvraj Singh
2008,RCB,Royal Challengers Bangalore,Martin Crowe,Vijay Mallya,Rahul Dravid
2008,RR,Rajasthan Royals,Shane Warne,Manoj Badale,Shane Warne
2009,CSK,Chennai Super Kings,Kepler Wessels,India Cements,MS Dhoni
2009,DC,Delhi Capitals,Greg Shipperd,GMR Group and the JSW Group,Virender Sehwag
2009,DEC,Deccan Charges,Robin Singh,Deccan Chronicle,Adam Gilchrist
2009,KKR,Kolkata Knight Riders,John Buchanan,Shah Rukh Khan,Sourav Ganguly
2009,MI,Mumbai Indians,Lalchand Rajput,Reliance Industries,Sachin Tendulkar
2009,PBKS,Punjab Kings,Tom Moody,Preity Zinta,Yuvraj Singh
2009,RCB,Royal Challengers Bangalore,Martin Crowe,Vijay Mallya,Rahul Dravid
2009,RR,Rajasthan Royals,Shane Warne,Manoj Badale,Shane Warne
2010,CSK,Chennai Super Kings,Kepler Wessels,India Cements,MS Dhoni
2010,DC,Delhi Capitals,Greg Shipperd,GMR Group and the JSW Group,Virender Sehwag
2010,DEC,Deccan Charges,Robin Singh,Deccan Chronicle,Adam Gilchrist
2010,KKR,Kolkata Knight Riders,John Buchanan,Shah Rukh Khan,Sourav Ganguly
2010,MI,Mumbai Indians,Robin Singh,Reliance Industries,Sachin Tendulkar
2010,PBKS,Punjab Kings,Tom Moody,Preity Zinta,Yuvraj Singh
2010,RCB,Royal Challengers Bangalore,Martin Crowe,Vijay Mallya,Rahul Dravid
2010,RR,Rajasthan Royals,Shane Warne,Manoj Badale,Shane Warne
2011,CSK,Chennai Super Kings,Kepler Wessels,India Cements,MS Dhoni
2011,DC,Delhi Capitals,Greg Shipperd,GMR Group and the JSW Group,Virender Sehwag
2011,DEC,Deccan Charges,Robin Singh,Deccan Chronicle,Adam Gilchrist
2011,KKR,Kolkata Knight Riders, Dav Whatmore,Shah Rukh Khan,Gautam Gambhir
2011,KTK,Kochi Tuskers Kerala,Geoff Lawson,Kochi Cricket Pvt Ltd,Ravindra Jadeja
2011,MI,Mumbai Indians,Robin Singh,Reliance Industries,Sachin Tendulkar
2011,PBKS,Punjab Kings,Michael Bevan,Preity Zinta,Adam Gilchrist
2011,PWI,Pune Warriors India,Geoff Marsh,Sahara Adventure Sports Limited,Yuvraj Singh
