editionNO,Team Name,Team Name,,coach,owner,captain
2008,RR,Rajasthan Royals,,,,
2008,PBKS,Punjab Kings,,,,
2008,CSK,Chennai Super Kings,,,,
2008,DD,Delhi Dardevils,,,,
2008,MI,Mumbai Indians,,,,
2008,KKR,Kolkata Knight Riders,,,,
2008,RCB,Royal Challengers Bangalore,,,,
2008,DEC,Deccan Charges,,,,
2009,DD,Delhi Dardevils,,,,
2009,CSK,Chennai Super Kings,,,,
2009,RCB,Royal Challengers Bangalore,,,,
2009,DEC,Deccan Charges,,,,
2009,PBKS,Punjab Kings,,,,
2009,RR,Rajasthan Royals,,,,
2009,MI,Mumbai Indians,,,,
2009,KKR,Kolkata Knight Riders,,,,
2010,MI,Mumbai Indians,,,,
2010,DEC,Deccan Charges,,,,
2010,CSK,Chennai Super Kings,,,,
2010,RCB,Royal Challengers Bangalore,,,,
2010,DD,Delhi Dardevils,,,,
2010,KKR,Kolkata Knight Riders,,,,
2010,RR,Rajasthan Royals,,,,
2010,PBKS,Punjab Kings,,,,
2011,RCB,Royal Challengers Bangalore,,,,
2011,CSK,Chennai Super Kings,,,,
2011,MI,Mumbai Indians,,,,
2011,KKR,Kolkata Knight Riders,,,,
2011,PBKS,Punjab Kings,,,,
2011,RR,Rajasthan Royals,,,,
2011,DEC,Deccan Charges,,,,
2011,KTK,Kochi Tuskers Kerala,,,,
2011,PWI,Pune Warriors India,,,,
2011,DD,Delhi Dardevils,,,,
2012,DD,Delhi Dardevils,,,,
2012,KKR,Kolkata Knight Riders,,,,
2012,MI,Mumbai Indians,,,,
2012,CSK,Chennai Super Kings,,,,
2012,RCB,Royal Challengers Bangalore,,,,
2012,PBKS,Punjab Kings,,,,
2012,RR,Rajasthan Royals,,,,
2012,DEC,Deccan Charges,,,,
2012,PWI,Pune Warriors India,,,,
2013,CSK,Chennai Super Kings,,,,
2013,MI,Mumbai Indians,,,,
2013,RR,Rajasthan Royals,,,,
2013,SRH,Sunrises Hyderabad,,,,
2013,RCB,Royal Challengers Bangalore,,,,
2013,PBKS,Punjab Kings,,,,
2013,KKR,Kolkata Knight Riders,,,,
2013,PWI,Pune Warriors India,,,,
2013,DD,Delhi Dardevils,,,,
2014,PBKS,Punjab Kings,,,,
2014,KKR,Kolkata Knight Riders,,,,
2014,CSK,Chennai Super Kings,,,,
2014,MI,Mumbai Indians,,,,
2014,RR,Rajasthan Royals,,,,
2014,SRH,Sunrises Hyderabad,,,,
2014,RCB,Royal Challengers Bangalore,,,,
2014,DD,Delhi Dardevils,,,,
2015,CSK,Chennai Super Kings,,,,
2015,MI,Mumbai Indians,,,,
2015,RCB,Royal Challengers Bangalore,,,,
2015,RR,Rajasthan Royals,,,,
2015,KKR,Kolkata Knight Riders,,,,
2015,SRH,Sunrises Hyderabad,,,,
2015,DD,Delhi Dardevils,,,,
2015,PBKS,Punjab Kings,,,,
2016,GL,Gujarat Lions,,,,
2016,RCB,Royal Challengers Bangalore,,,,
2016,SRH,Sunrises Hyderabad,,,,
2016,KKR,Kolkata Knight Riders,,,,
2016,MI,Mumbai Indians,,,,
2016,DD,Delhi Dardevils,,,,
2016,RPS,Rising Pune Super Giants,,,,
2016,PBKS,Punjab Kings,,,,
2017,MI,Mumbai Indians,,,,
2017,RPS,Rising Pune Super Giants,,,,
2017,SRH,Sunrises Hyderabad,,,,
2017,KKR,Kolkata Knight Riders,,,,
2017,PBKS,Punjab Kings,,,,
2017,DD,Delhi Dardevils,,,,
2017,GL,Gujarat Lions,,,,
2017,RCB,Royal Challengers Bangalore,,,,
2018,SRH,Sunrises Hyderabad,,,,
2018,CSK,Chennai Super Kings,,,,
2018,KKR,Kolkata Knight Riders,,,,
2018,RR,Rajasthan Royals,,,,
2018,MI,Mumbai Indians,,,,
2018,RCB,Royal Challengers Bangalore,,,,
2018,PBKS,Punjab Kings,,,,
2018,DD,Delhi Dardevils,,,,
2019,MI,Mumbai Indians,,,,
2019,CSK,Chennai Super Kings,,,,
2019,DC,Delhi Capitals,,,,
2019,SRH,Sunrises Hyderabad,,,,
2019,KKR,Kolkata Knight Riders,,,,
2019,PBKS,Punjab Kings,,,,
2019,RR,Rajasthan Royals,,,,
2019,RCB,Royal Challengers Bangalore,,,,
2020,MI,Mumbai Indians,,,,
2020,DC,Delhi Capitals,,,,
2020,SRH,Sunrises Hyderabad,,,,
2020,RCB,Royal Challengers Bangalore,,,,
2020,KKR,Kolkata Knight Riders,,,,
2020,PBKS,Punjab Kings,,,,
2020,CSK,Chennai Super Kings,,,,
2020,RR,Rajasthan Royals,,,,
2021,DC,Delhi Capitals,,,,
2021,CSK,Chennai Super Kings,,,,
2021,RCB,Royal Challengers Bangalore,,,,
2021,KKR,Kolkata Knight Riders,,,,
2021,MI,Mumbai Indians,,,,
2021,PBKS,Punjab Kings,,,,
2021,RR,Rajasthan Royals,,,,
2021,SRH,Sunrises Hyderabad,,,,
2022,GT,Gujarat Titans,,,,
2022,RR,Rajasthan Royals,,,,
2022,LSG,Lucknow Super Giants,,,,
2022,RCB,Royal Challengers Bangalore,,,,
2022,DC,Delhi Capitals,,,,
2022,PBKS,Punjab Kings,,,,
2022,KKR,Kolkata Knight Riders,,,,
2022,SRH,Sunrises Hyderabad,,,,
2022,CSK,Chennai Super Kings,,,,
2022,MI,Mumbai Indians,,,,
